#Table 1
#Characteristics of the 106 USP Planet Candidates Discovered in the Kepler Data
#KIC 	KOI 	m_Kep	T_eff (K)	Logg	R_sstarf (R_sun)	P_orb (days)	t_0 (BJD-2454900)	Depth (ppm)	Duration (hr)	a/R_sstarf	R_p (R_oplus)
KIC	KOI	mKep	Teff	Logg	Rstar	Porb	t0	Depth	Duration	a_over_Rstar	Rp
2711597	4746.01	14.5				0.49020979	64.289540				
2718885	0.00	14.7				0.19733350	64.716193				
3112129	4144.01	14.4				0.48765719	64.677406				
4665571	2393.00	14.9				0.76669043	64.430840				
4929299	4018.01	14.8				0.43436157	285.738945				
5480884	4841.01	16.0				0.23624272	102.883560				
5955905	0.00	15.0				0.51705775	1207.057671				
6359893	0.00	15.9				0.18043173	285.389235				
6525946	2093.03	15.4				0.49607106	285.534133				
8435766	0.00	11.6				0.35500753	53.604848				
9642018	4430.01	15.5				0.25255594	64.516303				
9825174	2880.01	15.9				0.74092963	102.695775				
10006641	4469.01	14.3				0.44708779	64.506995				
10527135	2622.01	15.3				0.32868757	64.454984				
10585738	3032.01	15.7				0.63642490	64.688541				
11187332	0.00	15.2				0.30598391	64.826889				
11453930	0.00	13.1				0.22924638	64.512355				
11550689	0.00	14.6				0.30160087	64.744663				
1717722	3145.02	15.7				0.97730809	102.820321				
3444588	1202.01	15.9				0.92831093	64.945619				
4055304	2119.01	14.1				0.57103885	64.653190				
4144576	2202.01	14.1				0.81316598	64.826536				
4852528	500.05	14.8				0.98678600	64.196497				
5040077	3065.01	14.6				0.89638348	65.296606				
5095635	2607.01	14.5				0.75445863	64.210363				
5175986	2708.01	15.9				0.86838702	103.275858				
5340878	4199.01	14.3				0.53991700	64.548229				
5513012	2668.01	14.2				0.67933587	65.178693				
5642620	2882.02	15.4				0.49339463	285.612655				
5942808	2250.02	15.6				0.62628076	285.358414				
5972334	191.03	15.0				0.70862545	64.944413				
6129524	2886.01	15.9				0.88183821	285.152838				
6183511	2542.01	15.5				0.72733112	64.641934				
6265792	2753.01	13.6				0.93512027	65.197130				
6294819	2852.01	15.9				0.67565200	285.617217				
6310636	1688.01	14.5				0.92103467	65.028092				
6362874	1128.01	13.5				0.97486662	54.379852				
6607286	1239.01	15.0				0.78327657	285.814763				
6607644	4159.01	14.5				0.97190650	65.184987				
6666233	2306.01	14.8				0.51240853	64.726189				
6697756	2798.01	14.1				0.91614360	65.021825				
6755944	4072.01	13.4				0.69297791	53.714011				
6867588	2571.01	14.4				0.82628363	64.444070				
6934291	1367.01	15.1				0.56785704	64.223769				
6964929	2756.01	14.8				0.66502914	64.655142				
6974658	2925.01	13.5				0.71653130	64.560833				
7102227	1360.03	15.6				0.76401932	64.458108				
7605093	2817.01	15.8				0.63400313	102.935144				
7749002	4325.01	15.7				0.60992303	102.621977				
7826620	4268.01	15.2				0.84990436	64.675047				
7907808	4109.01	14.5				0.65594057	64.444338				
8235924	2347.01	14.9				0.58800041	64.471042				
8278371	1150.01	13.3				0.67737578	54.074797				
8558011	577.02	14.4				0.63816268	103.039136				
8561063	961.02	15.9				0.45328732	64.603393				
8804845	2039.02	14.3				0.76213044	64.617466				
8895758	3106.01	15.4				0.96896529	285.390115				
