Planet	Star	Period	Semimajor-axis	Radius	Rad_err_plus	Rad_err_minus	Star_radius	Star_mass		
KOI-1843d	KOI-1843	0.1769	0.0048	0.59	0.12	0.08	0.4500	0.4640		
Kepler-42c	Kepler-42	0.45328509	0.006	0.728585	0.201762	0.201762	0.17	0.13		
Kepler-990c	Kepler-990	0.53835431	0.0128	1.524424	0.347479	0.190553	1.08	1.05		
EPIC220674823b	EPIC220674823	0.571307946424	0.0108435134259	1.45516147035	0.137031498596	0.137031498596	0.83	0.932		
55Cnce	55Cnc	0.736546	0.0154393	2.079998085	0.0	0.0	0.943	0.905		
Kepler-32f	Kepler-32	0.74296	0.0130732	0.8192691727	0.0	0.0	0.53	0.54		
WASP-47e	WASP-47	0.789593	0.01725	1.8169789	0.0650122	0.0650122	1.104	0.07		
Kepler-10b	Kepler-10	0.83749026	0.01685	1.4728626	0.0257807	0.0257807	1.065	0.91		
Kepler-732c	Kepler-732	0.89304124	0.014	1.266617	0.067254	0.100881	0.46	0.49		
Kepler-653c	Kepler-653	0.90037648	0.0187	0.78463	0.134508	0.123299	1.19	1.02		
HD3167b	HD3167	0.959627	0.016404532925	1.5950407	0.0840675	0.0840675	0.838	0.902		
Kepler-80f	Kepler-80	0.99	0.0163	1.300244	0.0	0.0	0.57	0.59		
Kepler-42b	Kepler-42	1.2137672	0.0116	0.78463	0	0	NA	NA		
Kepler-42d	Kepler-42	1.856169	0.0154	0.571659	0	0	NA	NA		
Kepler-32e	Kepler-32	2.896	0.0323795	1.498665718	0	0	NA	NA		
Kepler-80d	Kepler-80	3.07	0.0347	1.401125	0	0	NA	NA		
WASP-47b	WASP-47	4.1591409	0.051	12.711006	0	0	NA	NA		
KOI-1843b	KOI-1843	4.194496514	0.0395	1.44	0.26	0.26	NA	NA		
Kepler-80e	Kepler-80	4.64	0.0457	1.502006	0	0	NA	NA		
Kepler-32b	Kepler-32	5.90124	0.0520435	2.2003267	0	0	NA	NA		
KOI-1843c	KOI-1843	6.355822840	0.0521	0.63	0.11	0.11	NA	NA		
Kepler-80b	Kepler-80	7.05	0.0604	2.35389	0	0	NA	NA		
Kepler-32c	Kepler-32	8.7522	0.0676835	1.9996856	0	0	NA	NA		
WASP-47d	WASP-47	9.03079	0.087568	3.58688	0	0	NA	NA		
Kepler-732b	Kepler-732	9.46781405	0.0677	2.174546	0	0	NA	NA		
Kepler-80c	Kepler-80	9.52	0.0738	2.57807	0	0	NA	NA		
Kepler-990b	Kepler-990	9.91723428	0.089	2.600488	0	0	NA	NA		
EPIC220674823c	EPIC220674823	13.3412448487	0.0641549802433	2.53303432736	0	0	NA	NA		
55Cncb	55Cnc	14.6507	0.1148	4.02	0	0	NA	NA		
Kepler-653b	Kepler-653	14.70748976	0.1205	1.950366	0	0	NA	NA		
Kepler-32d	Kepler-32	22.7802	0.128069	2.697591567	0	0	NA	NA		
HD3167c	HD3167	29.8452	0.14937774687	2.891922	0	0	NA	NA		
55Cncc	55Cnc	44.364	0.2403	2.7	0	0	NA	NA		
Kepler-10c	Kepler-10	45.294301	0.241	2.3225048	0	0	NA	NA		
55Cncf	55Cnc	259.8	0.781	2.6	0	0	NA	NA		
55Cncd	55Cnc	5169.0	5.74	5.9	0	0	NA	NA		
